brand,model,averageSellingPrice,fuelType,transmission,about
Nissan,Corolla 2023,42224,Diesel,Automatic,"The Nissan Corolla 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Golf 2021,50540,Petrol,Automatic,"The Tesla Golf 2021 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Altima 2023,18915,Petrol,Automatic,"The Honda Altima 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Altima 2020,35805,Petrol,Manual,"The Tesla Altima 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,A4 2020,46898,Electric,Automatic,"The Tesla A4 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,X5 2018,16299,Petrol,Automatic,"The BMW X5 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Civic 2022,40655,Diesel,Manual,"The Volkswagen Civic 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,X5 2023,25129,Diesel,Manual,"The Mercedes X5 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Mustang 2019,48918,Petrol,Manual,"The Tesla Mustang 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Elantra 2022,67514,Petrol,Automatic,"The Audi Elantra 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Corolla 2019,62584,Diesel,Manual,"The BMW Corolla 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Mustang 2020,66116,Electric,Manual,"The Audi Mustang 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Model 3 2021,40488,Diesel,Manual,"The Toyota Model 3 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Mustang 2020,36749,Diesel,Manual,"The Honda Mustang 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,X5 2019,20504,Diesel,Manual,"The Tesla X5 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Mustang 2022,29615,Petrol,Manual,"The Honda Mustang 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Golf 2022,50987,Petrol,Manual,"The Ford Golf 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Elantra 2022,42030,Petrol,Manual,"The Tesla Elantra 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Altima 2023,45317,Petrol,Manual,"The Toyota Altima 2023 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,X5 2021,29628,Electric,Automatic,"The Audi X5 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Golf 2023,49731,Petrol,Manual,"The Volkswagen Golf 2023 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Elantra 2021,42752,Diesel,Automatic,"The BMW Elantra 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Elantra 2023,45703,Petrol,Manual,"The Ford Elantra 2023 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Mustang 2020,17248,Diesel,Automatic,"The Hyundai Mustang 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Golf 2022,67991,Electric,Manual,"The Tesla Golf 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Civic 2018,57535,Petrol,Automatic,"The Nissan Civic 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Mustang 2022,54964,Petrol,Manual,"The Toyota Mustang 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Golf 2018,23727,Electric,Automatic,"The Volkswagen Golf 2018 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Golf 2023,63647,Petrol,Manual,"The Mercedes Golf 2023 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Altima 2019,18434,Electric,Automatic,"The Hyundai Altima 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Golf 2018,20030,Electric,Manual,"The Honda Golf 2018 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Altima 2019,62303,Diesel,Automatic,"The Ford Altima 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Altima 2022,24139,Petrol,Automatic,"The Mercedes Altima 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Mustang 2021,59081,Petrol,Manual,"The Hyundai Mustang 2021 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,X5 2019,67173,Electric,Manual,"The Volkswagen X5 2019 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Elantra 2021,21903,Electric,Automatic,"The Honda Elantra 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Golf 2020,40256,Petrol,Automatic,"The Volkswagen Golf 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,C-Class 2021,17996,Diesel,Automatic,"The Nissan C-Class 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,C-Class 2019,23431,Petrol,Manual,"The Mercedes C-Class 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Mustang 2020,56528,Electric,Automatic,"The BMW Mustang 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Model 3 2021,26969,Electric,Automatic,"The Nissan Model 3 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Civic 2022,69999,Petrol,Manual,"The Hyundai Civic 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,C-Class 2022,42663,Electric,Manual,"The Volkswagen C-Class 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Elantra 2023,34860,Electric,Manual,"The Tesla Elantra 2023 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Civic 2020,43865,Electric,Manual,"The Hyundai Civic 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,X5 2021,49868,Electric,Manual,"The Toyota X5 2021 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Elantra 2020,38584,Diesel,Automatic,"The Toyota Elantra 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,C-Class 2021,28829,Diesel,Automatic,"The BMW C-Class 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Altima 2023,48173,Petrol,Manual,"The Honda Altima 2023 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,C-Class 2019,66313,Diesel,Manual,"The Tesla C-Class 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Civic 2019,58389,Electric,Automatic,"The BMW Civic 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Corolla 2022,40863,Petrol,Manual,"The Mercedes Corolla 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,C-Class 2021,63856,Petrol,Manual,"The Hyundai C-Class 2021 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Altima 2020,63455,Petrol,Manual,"The Mercedes Altima 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Model 3 2020,36127,Petrol,Automatic,"The Nissan Model 3 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Mustang 2021,57170,Diesel,Manual,"The Nissan Mustang 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Civic 2022,30842,Electric,Automatic,"The Toyota Civic 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Altima 2019,68966,Electric,Manual,"The Tesla Altima 2019 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,X5 2021,32034,Petrol,Manual,"The Ford X5 2021 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Corolla 2018,63773,Diesel,Automatic,"The Tesla Corolla 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Civic 2020,15637,Petrol,Automatic,"The Toyota Civic 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,C-Class 2019,33600,Petrol,Automatic,"The Honda C-Class 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Corolla 2018,15493,Petrol,Automatic,"The Tesla Corolla 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Corolla 2022,65872,Electric,Automatic,"The Nissan Corolla 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,C-Class 2019,40345,Electric,Manual,"The Nissan C-Class 2019 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Civic 2021,44284,Electric,Manual,"The Hyundai Civic 2021 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Mustang 2018,17208,Petrol,Automatic,"The Ford Mustang 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Elantra 2022,23128,Electric,Automatic,"The Ford Elantra 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,C-Class 2018,43483,Electric,Automatic,"The Hyundai C-Class 2018 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Civic 2020,51874,Diesel,Manual,"The Volkswagen Civic 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,C-Class 2022,68609,Petrol,Automatic,"The Audi C-Class 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Mustang 2021,18382,Electric,Automatic,"The Audi Mustang 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Golf 2022,15710,Electric,Manual,"The Nissan Golf 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,A4 2021,31829,Electric,Manual,"The Audi A4 2021 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Corolla 2018,36111,Petrol,Automatic,"The Toyota Corolla 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Civic 2020,67815,Diesel,Automatic,"The Audi Civic 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Civic 2019,19580,Electric,Automatic,"The Hyundai Civic 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Golf 2019,17805,Diesel,Manual,"The Mercedes Golf 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Model 3 2021,31028,Diesel,Manual,"The Tesla Model 3 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Altima 2020,50695,Diesel,Manual,"The Hyundai Altima 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,X5 2023,45435,Diesel,Automatic,"The Toyota X5 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,C-Class 2023,52923,Electric,Automatic,"The Volkswagen C-Class 2023 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Altima 2022,28556,Electric,Manual,"The Nissan Altima 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Mustang 2023,31252,Diesel,Manual,"The Ford Mustang 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Golf 2019,17336,Petrol,Manual,"The Tesla Golf 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,X5 2022,31565,Diesel,Automatic,"The Audi X5 2022 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,X5 2018,45989,Petrol,Manual,"The Hyundai X5 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,C-Class 2023,69635,Electric,Manual,"The BMW C-Class 2023 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Mustang 2019,42333,Diesel,Manual,"The Nissan Mustang 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,X5 2023,17565,Electric,Manual,"The Mercedes X5 2023 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Golf 2020,33055,Diesel,Manual,"The Nissan Golf 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Mustang 2022,65606,Petrol,Automatic,"The Ford Mustang 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,X5 2021,15097,Diesel,Manual,"The Nissan X5 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Model 3 2019,60912,Petrol,Manual,"The BMW Model 3 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Civic 2020,43035,Diesel,Automatic,"The Nissan Civic 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,X5 2023,25197,Petrol,Manual,"The Ford X5 2023 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,C-Class 2019,52377,Diesel,Manual,"The Honda C-Class 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Corolla 2022,47115,Diesel,Automatic,"The Volkswagen Corolla 2022 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Altima 2021,52187,Petrol,Automatic,"The Nissan Altima 2021 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,A4 2020,64210,Petrol,Manual,"The Ford A4 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Elantra 2019,64278,Electric,Manual,"The Toyota Elantra 2019 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,A4 2020,49823,Petrol,Automatic,"The Volkswagen A4 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Mustang 2019,38310,Diesel,Manual,"The Mercedes Mustang 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Civic 2022,26940,Petrol,Automatic,"The Hyundai Civic 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,C-Class 2021,29633,Electric,Automatic,"The Volkswagen C-Class 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Mustang 2020,67903,Diesel,Manual,"The Volkswagen Mustang 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,A4 2021,43747,Electric,Automatic,"The Volkswagen A4 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,A4 2023,63358,Electric,Automatic,"The Hyundai A4 2023 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Mustang 2021,47282,Electric,Automatic,"The Nissan Mustang 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,X5 2019,25243,Electric,Automatic,"The Audi X5 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Elantra 2020,51982,Petrol,Manual,"The Audi Elantra 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,A4 2022,26408,Petrol,Automatic,"The Hyundai A4 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Civic 2022,22187,Diesel,Automatic,"The Honda Civic 2022 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Civic 2020,59692,Petrol,Manual,"The Audi Civic 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Elantra 2018,66380,Electric,Manual,"The Volkswagen Elantra 2018 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,X5 2021,38537,Diesel,Manual,"The Volkswagen X5 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,C-Class 2018,25798,Petrol,Manual,"The Volkswagen C-Class 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Corolla 2020,33379,Petrol,Automatic,"The BMW Corolla 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,X5 2022,33315,Diesel,Manual,"The Volkswagen X5 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Elantra 2020,18521,Electric,Manual,"The Tesla Elantra 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Corolla 2019,36699,Diesel,Automatic,"The Volkswagen Corolla 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,A4 2018,55142,Diesel,Automatic,"The BMW A4 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Model 3 2021,36935,Diesel,Automatic,"The Toyota Model 3 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,X5 2018,69071,Petrol,Automatic,"The Ford X5 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,A4 2019,54078,Diesel,Automatic,"The Mercedes A4 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Mustang 2022,44444,Petrol,Automatic,"The Honda Mustang 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Altima 2022,69673,Electric,Automatic,"The Toyota Altima 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Corolla 2023,27885,Petrol,Automatic,"The Ford Corolla 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Civic 2021,56945,Electric,Manual,"The Tesla Civic 2021 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Civic 2020,22495,Electric,Manual,"The Ford Civic 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,A4 2018,25511,Electric,Manual,"The BMW A4 2018 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Golf 2023,27229,Electric,Manual,"The Honda Golf 2023 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Model 3 2018,46039,Diesel,Automatic,"The Hyundai Model 3 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Golf 2022,24834,Diesel,Manual,"The Toyota Golf 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Corolla 2021,60682,Petrol,Manual,"The Hyundai Corolla 2021 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Golf 2022,67834,Petrol,Automatic,"The Mercedes Golf 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Altima 2021,61655,Diesel,Manual,"The Hyundai Altima 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Golf 2020,63646,Electric,Manual,"The Audi Golf 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,C-Class 2018,43751,Diesel,Automatic,"The Hyundai C-Class 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Altima 2020,22211,Petrol,Automatic,"The Honda Altima 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Elantra 2021,45953,Diesel,Manual,"The Nissan Elantra 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Golf 2021,51570,Petrol,Automatic,"The BMW Golf 2021 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Civic 2022,30731,Petrol,Automatic,"The Toyota Civic 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Corolla 2021,63394,Diesel,Automatic,"The Ford Corolla 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Golf 2021,27187,Diesel,Manual,"The Audi Golf 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Mustang 2019,68826,Diesel,Manual,"The Mercedes Mustang 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Elantra 2020,40770,Petrol,Automatic,"The Toyota Elantra 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Altima 2018,36781,Petrol,Manual,"The Volkswagen Altima 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Corolla 2020,43060,Electric,Manual,"The Toyota Corolla 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Golf 2019,44710,Electric,Automatic,"The Audi Golf 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Elantra 2019,43964,Petrol,Automatic,"The Volkswagen Elantra 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Civic 2021,57922,Petrol,Automatic,"The Volkswagen Civic 2021 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,A4 2021,22472,Electric,Automatic,"The Honda A4 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Elantra 2019,46741,Diesel,Automatic,"The Mercedes Elantra 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Altima 2023,15014,Diesel,Automatic,"The Toyota Altima 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Altima 2019,27325,Diesel,Automatic,"The Tesla Altima 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Mustang 2020,15761,Diesel,Automatic,"The Tesla Mustang 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,C-Class 2019,68825,Petrol,Automatic,"The Ford C-Class 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,X5 2022,42261,Electric,Manual,"The Mercedes X5 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,C-Class 2019,23097,Diesel,Automatic,"The Ford C-Class 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,X5 2020,22961,Diesel,Manual,"The Nissan X5 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
